"Statistic","Quarter","Income Support Recipients","County","Sex","Age Group","Employment Record","UNIT","VALUE"
"Income in previous period (t-1)","2021Q1","No supports in current period and supports in previous period (t-1)","Co. Wexford","Male","25 years and over","Different Employer","€",""
"Income in previous period (t-1)","2021Q1","No supports in current period and supports in previous period (t-1)","Co. Wexford","Female","All ages","Same Employer","€",""
"Income in previous period (t-1)","2021Q1","No supports in current period and supports in previous period (t-1)","Co. Wexford","Female","All ages","Different Employer","€",""
"Income in previous period (t-1)","2021Q1","No supports in current period and supports in previous period (t-1)","Co. Wexford","Female","Under 25 years","Same Employer","€",""
"Income in previous period (t-1)","2021Q1","No supports in current period and supports in previous period (t-1)","Co. Wexford","Female","Under 25 years","Different Employer","€",""
"Income in previous period (t-1)","2021Q1","No supports in current period and supports in previous period (t-1)","Co. Wexford","Female","25 years and over","Same Employer","€",""
"Income in previous period (t-1)","2021Q1","No supports in current period and supports in previous period (t-1)","Co. Wexford","Female","25 years and over","Different Employer","€",""
"Income in previous period (t-1)","2021Q1","No supports in current period and supports in previous period (t-1)","Ireland","Both sexes","All ages","Same Employer","€","477"
"Income in previous period (t-1)","2021Q1","No supports in current period and supports in previous period (t-1)","Ireland","Both sexes","All ages","Different Employer","€","371"
"Income in previous period (t-1)","2021Q1","No supports in current period and supports in previous period (t-1)","Ireland","Both sexes","Under 25 years","Same Employer","€","368"
"Income in previous period (t-1)","2021Q1","No supports in current period and supports in previous period (t-1)","Ireland","Both sexes","Under 25 years","Different Employer","€","246"
"Income in previous period (t-1)","2021Q1","No supports in current period and supports in previous period (t-1)","Ireland","Both sexes","25 years and over","Same Employer","€","502"
"Income in previous period (t-1)","2021Q1","No supports in current period and supports in previous period (t-1)","Ireland","Both sexes","25 years and over","Different Employer","€","458"
"Income in previous period (t-1)","2021Q1","No supports in current period and supports in previous period (t-1)","Ireland","Male","All ages","Same Employer","€","546"
"Income in previous period (t-1)","2021Q1","No supports in current period and supports in previous period (t-1)","Ireland","Male","All ages","Different Employer","€","423"
"Income in previous period (t-1)","2021Q1","No supports in current period and supports in previous period (t-1)","Ireland","Male","Under 25 years","Same Employer","€",""
"Income in previous period (t-1)","2021Q1","No supports in current period and supports in previous period (t-1)","Ireland","Male","Under 25 years","Different Employer","€",""
"Income in previous period (t-1)","2021Q1","No supports in current period and supports in previous period (t-1)","Ireland","Male","25 years and over","Same Employer","€",""
"Income in previous period (t-1)","2021Q1","No supports in current period and supports in previous period (t-1)","Ireland","Male","25 years and over","Different Employer","€",""
"Income in previous period (t-1)","2021Q1","No supports in current period and supports in previous period (t-1)","Ireland","Female","All ages","Same Employer","€","411"
"Income in previous period (t-1)","2021Q1","No supports in current period and supports in previous period (t-1)","Ireland","Female","All ages","Different Employer","€","327"
"Income in previous period (t-1)","2021Q1","No supports in current period and supports in previous period (t-1)","Ireland","Female","Under 25 years","Same Employer","€",""
"Income in previous period (t-1)","2021Q1","No supports in current period and supports in previous period (t-1)","Ireland","Female","Under 25 years","Different Employer","€",""
"Income in previous period (t-1)","2021Q1","No supports in current period and supports in previous period (t-1)","Ireland","Female","25 years and over","Same Employer","€",""
"Income in previous period (t-1)","2021Q1","No supports in current period and supports in previous period (t-1)","Ireland","Female","25 years and over","Different Employer","€",""
"Income in previous period (t-1)","2021Q2","No supports in current period or previous period (t-1)","Co. Clare","Both sexes","All ages","Same Employer","€","822"
"Income in previous period (t-1)","2021Q2","No supports in current period or previous period (t-1)","Co. Clare","Both sexes","All ages","Different Employer","€","677"
"Income in previous period (t-1)","2021Q2","No supports in current period or previous period (t-1)","Co. Clare","Both sexes","Under 25 years","Same Employer","€",""
"Income in previous period (t-1)","2021Q2","No supports in current period or previous period (t-1)","Co. Clare","Both sexes","Under 25 years","Different Employer","€",""
"Income in previous period (t-1)","2021Q2","No supports in current period or previous period (t-1)","Co. Clare","Both sexes","25 years and over","Same Employer","€",""
"Income in previous period (t-1)","2021Q2","No supports in current period or previous period (t-1)","Co. Clare","Both sexes","25 years and over","Different Employer","€",""
"Income in previous period (t-1)","2021Q2","No supports in current period or previous period (t-1)","Co. Clare","Male","All ages","Same Employer","€",""
"Income in previous period (t-1)","2021Q2","No supports in current period or previous period (t-1)","Co. Clare","Male","All ages","Different Employer","€",""
"Income in previous period (t-1)","2021Q2","No supports in current period or previous period (t-1)","Co. Clare","Male","Under 25 years","Same Employer","€",""
"Income in previous period (t-1)","2021Q2","No supports in current period or previous period (t-1)","Co. Clare","Male","Under 25 years","Different Employer","€",""
"Income in previous period (t-1)","2021Q2","No supports in current period or previous period (t-1)","Co. Clare","Male","25 years and over","Same Employer","€",""
"Income in previous period (t-1)","2021Q2","No supports in current period or previous period (t-1)","Co. Clare","Male","25 years and over","Different Employer","€",""
"Income in previous period (t-1)","2021Q2","No supports in current period or previous period (t-1)","Co. Clare","Female","All ages","Same Employer","€",""
"Income in previous period (t-1)","2021Q2","No supports in current period or previous period (t-1)","Co. Clare","Female","All ages","Different Employer","€",""
"Income in previous period (t-1)","2021Q2","No supports in current period or previous period (t-1)","Co. Clare","Female","Under 25 years","Same Employer","€",""
